trading_date,delivery_date,open,close
2016-07-27,2016-08-01,14.425,14.41
2016-07-28,2016-08-01,14.375,14.1
2016-07-29,2016-09-01,14.495,14.375
2016-08-01,2016-09-01,14.325,14.0
2016-08-02,2016-09-01,13.9,13.8
2016-08-03,2016-09-01,13.605,13.7
2016-08-04,2016-09-01,13.805,13.725
2016-08-05,2016-09-01,13.675,13.2
2016-08-08,2016-09-01,13.3,13.0
2016-08-09,2016-09-01,12.875,12.85
2016-08-10,2016-09-01,12.875,12.825
2016-08-11,2016-09-01,12.7,12.7
2016-08-12,2016-09-01,12.795,12.2
2016-08-15,2016-09-01,12.005,11.6
2016-08-16,2016-09-01,11.795,11.95
2016-08-17,2016-09-01,11.8,12.0
2016-08-18,2016-09-01,12.05,11.675
2016-08-19,2016-09-01,11.45,10.8
2016-08-22,2016-09-01,10.975,11.375
2016-08-23,2016-09-01,11.45,11.525
2016-08-24,2016-09-01,11.175,11.1
2016-08-25,2016-09-01,10.875,11.125
2016-08-26,2016-09-01,11.09,11.5
2016-08-29,2016-09-01,11.8,11.8
2016-08-30,2016-09-01,11.3,11.475
2016-08-31,2016-10-01,12.85,12.8
2016-09-01,2016-10-01,12.605,12.575
2016-09-02,2016-10-01,12.355,12.7
2016-09-05,2016-10-01,12.9,12.45
2016-09-06,2016-10-01,12.48,12.4
2016-09-07,2016-10-01,12.2,12.025
2016-09-08,2016-10-01,11.995,12.0
2016-09-09,2016-10-01,11.85,11.875
2016-09-12,2016-10-01,11.605,11.825
2016-09-13,2016-10-01,11.895,12.05
2016-09-14,2016-10-01,12.25,11.95
2016-09-15,2016-10-01,12.0,12.6
2016-09-16,2016-10-01,12.55,12.6
2016-09-19,2016-10-01,12.75,13.45
2016-09-20,2016-10-01,13.25,13.0
2016-09-21,2016-10-01,13.0,13.375
2016-09-22,2016-10-01,13.65,13.53
2016-09-23,2016-10-01,13.325,13.985
2016-09-26,2016-10-01,13.65,13.725
2016-09-27,2016-10-01,13.855,13.275
2016-09-28,2016-10-01,13.425,13.925
2016-09-29,2016-10-01,14.45,14.1
2016-09-30,2016-11-01,15.75,15.185
2016-10-03,2016-11-01,15.725,15.525
2016-10-04,2016-11-01,15.4,16.05
2016-10-05,2016-11-01,16.4,16.05
2016-10-06,2016-11-01,15.95,16.45
2016-10-07,2016-11-01,16.675,16.03
2016-10-10,2016-11-01,15.505,15.825
2016-10-11,2016-11-01,15.84,15.3
2016-10-12,2016-11-01,15.5,15.45
2016-10-13,2016-11-01,15.65,15.9
2016-10-14,2016-11-01,16.025,16.175
2016-10-17,2016-11-01,16.35,16.325
2016-10-18,2016-11-01,16.5,16.8
2016-10-19,2016-11-01,16.95,16.67
2016-10-20,2016-11-01,16.75,16.975
2016-10-21,2016-11-01,16.8,16.85
2016-10-24,2016-11-01,17.1,17.3
2016-10-25,2016-11-01,17.5,17.525
2016-10-26,2016-11-01,17.65,17.1
2016-10-27,2016-11-01,17.0,17.4
2016-10-28,2016-11-01,17.25,17.4
2016-10-31,2016-12-01,17.825,17.975
2016-11-01,2016-12-01,18.4,18.475
2016-11-02,2016-12-01,18.305,18.92
2016-11-03,2016-12-01,19.0,18.675
2016-11-04,2016-12-01,18.45,18.125
2016-11-07,2016-12-01,18.1,17.8
2016-11-08,2016-12-01,17.505,17.675
2016-11-09,2016-12-01,17.275,18.04
2016-11-10,2016-12-01,18.175,18.075
2016-11-11,2016-12-01,18.22,18.0
2016-11-14,2016-12-01,17.805,17.5
2016-11-15,2016-12-01,17.65,17.95
2016-11-16,2016-12-01,18.275,17.575
2016-11-17,2016-12-01,17.3,17.75
2016-11-18,2016-12-01,17.58,17.9
2016-11-21,2016-12-01,17.38,17.4
2016-11-22,2016-12-01,17.67,17.65
2016-11-23,2016-12-01,17.72,17.625
2016-11-24,2016-12-01,17.575,17.72
2016-11-25,2016-12-01,17.75,17.625
2016-11-28,2016-12-01,17.75,18.02
2016-11-29,2016-12-01,18.2,18.05
2016-11-30,2017-01-01,17.825,18.175
2016-12-01,2017-01-01,17.9,17.975
2016-12-02,2017-01-01,17.85,17.5
2016-12-05,2017-01-01,17.555,16.75
2016-12-06,2017-01-01,16.77,16.275
2016-12-07,2017-01-01,16.45,16.175
2016-12-08,2017-01-01,15.85,16.4
2016-12-09,2017-01-01,16.475,16.45
2016-12-12,2017-01-01,16.875,16.95
2016-12-13,2017-01-01,16.795,17.19
2016-12-14,2017-01-01,16.9,17.025
2016-12-15,2017-01-01,17.25,17.1
2016-12-16,2017-01-01,17.1,17.6
2016-12-19,2017-01-01,17.09,17.35
2016-12-20,2017-01-01,17.45,17.5
2016-12-21,2017-01-01,17.375,17.7
2016-12-22,2017-01-01,17.75,18.15
2016-12-23,2017-01-01,18.045,17.975
2016-12-27,2017-01-01,18.095,18.5
2016-12-28,2017-01-01,18.6,18.725
2016-12-29,2017-01-01,18.75,19.0
2016-12-30,2017-02-01,19.3,19.655
2017-01-02,2017-02-01,19.45,19.2
2017-01-03,2017-02-01,19.0,18.25
2017-01-04,2017-02-01,18.525,18.925
2017-01-05,2017-02-01,18.75,18.8
